Ticker,Company,Net Income ($M),Income ≥$75M,EPS 5yr Growth,ROE (%),ROE >10%,Int. Coverage,Int.Cov >1,Score,_score
HOOD,HOOD,"1,883",PASS,PASS,20.6,PASS,No Debt,PASS,4/4,4
GE,GE,"8,704",PASS,FAIL,46.6,PASS,10.4,PASS,3/4,3
LMT,LMT,"5,017",PASS,FAIL,74.6,PASS,6.9,PASS,3/4,3
GOOGL,GOOGL,"132,170",PASS,FAIL,31.8,PASS,903.3,PASS,3/4,3
KO,KO,"13,107",PASS,FAIL,40.7,PASS,8.3,PASS,3/4,3
JNJ,JNJ,"26,804",PASS,FAIL,32.9,PASS,26.4,PASS,3/4,3
GM,GM,"2,697",PASS,FAIL,4.4,FAIL,4.0,PASS,2/4,2
GS,GS,"17,176",PASS,FAIL,13.7,PASS,0.3,FAIL,2/4,2
HCA,HCA,"6,784",PASS,FAIL,-112.6,FAIL,5.3,PASS,2/4,2
JPM,JPM,"57,048",PASS,FAIL,15.7,PASS,0.7,FAIL,2/4,2
