Ticker,Company,Net Income ($M),Income ≥$75M,EPS 5yr Growth,ROE (%),ROE >10%,Int. Coverage,Int.Cov >1,Score,_score
COST,COST,"8,099",PASS,PASS,27.8,PASS,67.4,PASS,4/4,4
CSCO,CSCO,"13,267",PASS,FAIL,26.4,PASS,10.5,PASS,3/4,3
DAL,DAL,"5,005",PASS,FAIL,24.1,PASS,8.6,PASS,3/4,3
FDX,FDX,"4,433",PASS,FAIL,14.0,PASS,12.4,PASS,3/4,3
DIS,DIS,"12,404",PASS,FAIL,11.3,PASS,7.6,PASS,3/4,3
COIN,COIN,"1,260",PASS,FAIL,8.5,FAIL,16.8,PASS,2/4,2
CVX,CVX,"12,299",PASS,FAIL,6.6,FAIL,13.7,PASS,2/4,2
