Ticker,Company,Net Income ($M),Income ≥$75M,EPS 5yr Growth,ROE (%),ROE >10%,Int. Coverage,Int.Cov >1,Score,_score
ADBE,ADBE,"7,130",PASS,PASS,61.3,PASS,33.1,PASS,4/4,4
CCL,CCL,"2,760",PASS,PASS,22.5,PASS,3.3,PASS,4/4,4
AAPL,AAPL,"112,010",PASS,FAIL,151.9,PASS,No Debt,PASS,3/4,3
AMZN,AMZN,"77,670",PASS,FAIL,18.9,PASS,35.2,PASS,3/4,3
CARR,CARR,"1,484",PASS,FAIL,10.8,PASS,5.5,PASS,3/4,3
ABBV,ABBV,"4,226",PASS,FAIL,-129.2,FAIL,6.9,PASS,2/4,2
BAC,BAC,"30,509",PASS,FAIL,10.1,PASS,0.5,FAIL,2/4,2
AMD,AMD,"4,335",PASS,FAIL,6.9,FAIL,28.2,PASS,2/4,2
BA,BA,"2,235",PASS,FAIL,41.0,PASS,-2.0,FAIL,2/4,2
C,C,"14,268",PASS,FAIL,6.7,FAIL,0.2,FAIL,1/4,1
