Ticker,Company,Net Income ($M),Income ≥$75M,EPS 5yr Growth,ROE (%),ROE >10%,Int. Coverage,Int.Cov >1,Score,_score
V,V,"20,058",PASS,PASS,52.9,PASS,40.7,PASS,4/4,4
UAL,UAL,"3,353",PASS,PASS,21.9,PASS,3.9,PASS,4/4,4
T,T,"21,889",PASS,FAIL,19.8,PASS,3.7,PASS,3/4,3
TGT,TGT,"3,705",PASS,FAIL,22.9,PASS,11.5,PASS,3/4,3
VZ,VZ,"17,174",PASS,FAIL,16.4,PASS,4.4,PASS,3/4,3
WMT,WMT,"21,893",PASS,FAIL,22.0,PASS,10.7,PASS,3/4,3
UBER,UBER,"10,053",PASS,FAIL,37.2,PASS,12.6,PASS,3/4,3
UNH,UNH,"12,056",PASS,FAIL,12.8,PASS,4.7,PASS,3/4,3
XOM,XOM,"28,844",PASS,FAIL,11.1,PASS,56.3,PASS,3/4,3
SBUX,SBUX,"1,856",PASS,FAIL,-22.9,FAIL,6.6,PASS,2/4,2
TSLA,TSLA,"3,794",PASS,FAIL,4.6,FAIL,12.9,PASS,2/4,2
WFC,WFC,"21,338",PASS,FAIL,11.8,PASS,0.6,FAIL,2/4,2
